target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
cf-18132,0.7,1.0,0.0,5,5,5,0.0
cf-18137,0.95,1.0,0.0,5,5,5,0.0
cf-18137,0.9,1.0,0.0,5,5,5,0.0
cf-18137,0.85,1.0,0.0,5,5,5,0.0
cf-18137,0.8,1.0,0.0,5,5,5,0.0
cf-18137,0.75,1.0,0.0,5,5,5,0.0
cf-18137,0.7,1.0,0.0,5,5,5,0.0
cf-18138,0.95,0.0,0.0,5,5,5,1.0
cf-18138,0.9,0.0,0.0,5,5,5,1.0
cf-18138,0.85,0.0,0.0,5,5,5,1.0
cf-18138,0.8,0.0,0.0,5,5,5,1.0
cf-18138,0.75,0.0,0.0,5,5,5,1.0
cf-18138,0.7,1.0,0.0,5,5,5,0.0
